TF	Target	WeightOfEdge
TRIM28	SF1	0.00904867984354496
POU5F1	NANOG	0.008893734775483608
TRIM28	LIN28A	0.008886679075658321
POU5F1	POLR3G	0.008788111619651318
TRIM28	KHSRP	0.008749154396355152
TRIM28	HNRNPAB	0.008729430846869946
POU5F1	SFRP2	0.008669339120388031
TRIM28	FOXH1	0.008657795377075672
TRIM28	ID1	0.008632341399788857
TRIM28	HMGA1	0.008585816249251366
POU5F1	CD9	0.008527293801307678
TRIM28	ILF3	0.008503051474690437
TRIM28	ARID3A	0.008471723645925522
TRIM28	MCM2	0.008418365381658077
TRIM28	NLGN4X	0.008411310613155365
TRIM28	PMAIP1	0.008409776724874973
POU5F1	SEMA6A	0.008403263054788113
POU5F1	PMAIP1	0.008399092592298985
TRIM28	CCND1	0.008398324251174927
TRIM28	YBX1	0.008392424322664738
POU5F1	EPCAM	0.008388690650463104
TRIM28	U2AF1	0.008371639996767044
TRIM28	SFRP2	0.00837132427841425
TRIM28	ODC1	0.008315486833453178
TRIM28	POU5F1	0.008289113640785217
TRIM28	ARID3B	0.008270240388810635
POU5F1	ASNS	0.008248786441981792
TRIM28	PTMA	0.008214504458010197
POU5F1	PTPRZ1	0.008209563791751862
TFAP2A	SIX6	0.008200160227715969
TRIM28	SMARCD1	0.008159531280398369
TRIM28	HCFC1	0.008148682303726673
POU5F1	PHC1	0.008126839064061642
POU5F1	FUS	0.00809258408844471
TRIM28	MYBL2	0.008075762540102005
TRIM28	POLR2A	0.008033249527215958
POU5F1	BMPR1A	0.008023221045732498
POU5F1	ID1	0.008011396043002605
POU5F1	GABRB3	0.00800323486328125
TRIM28	HNRNPD	0.0079918522387743
TFAP2A	ID1	0.0079725980758667
TRIM28	SNRPD1	0.00796881876885891
TFAP2A	HAND2	0.007956726476550102
TRIM28	ZFP42	0.007952667772769928
POU5F1	HNRNPAB	0.00793872494250536
POU5F1	RRAS2	0.007932905107736588
TRIM28	E2F4	0.007914191111922264
TRIM28	NPM1	0.007914035581052303
POU5F1	KAT7	0.007913583889603615
POU5F1	LIN28A	0.007911110296845436
TRIM28	TEAD4	0.007882915437221527
TRIM28	AGPAT5	0.00788182858377695
TRIM28	UBTF	0.00787598080933094
TRIM28	RAD51	0.007872041314840317
TRIM28	POLR3G	0.00784025713801384
POU5F1	NLGN4X	0.007835058495402336
POU5F1	ID3	0.007834622636437416
TRIM28	UPF2	0.007833914831280708
TRIM28	GATAD2A	0.007823839783668518
POU5F1	AK4	0.007817714475095272
TRIM28	MCM4	0.007815896533429623
TRIM28	DDX54	0.00781534519046545
TRIM28	EPCAM	0.007801544852554798
TRIM28	PDCD11	0.007791684940457344
TRIM28	SFPQ	0.007789140101522207
TRIM28	FOXN3	0.007783863693475723
TFAP2A	TRIM22	0.007778832223266363
POU5F1	ZFP42	0.007778355851769447
TRIM28	CD9	0.007769695948809385
TRIM28	ETV1	0.007766043767333031
TRIM28	SAP18	0.007761657238006592
TFAP2A	PROM1	0.007757042068988085
POU5F1	GINS2	0.00775214983150363
TRIM28	HNRNPK	0.007750020362436771
TRIM28	CHAF1A	0.007748814299702644
TRIM28	EWSR1	0.007737941108644009
TRIM28	SEMA6A	0.007728744763880968
TFAP2A	DCLK1	0.007720597088336945
TRIM28	MRPL1	0.007718633860349655
POU5F1	HNRNPD	0.0077180382795631886
TFAP2A	ANXA3	0.007715501822531223
TRIM28	PHB2	0.007711381651461124
TFAP2A	SP110	0.007703412789851427
POU5F1	SF1	0.007702041417360306
TRIM28	POLR2F	0.007701636757701635
POU5F1	USP44	0.007701549679040909
TFAP2A	CREB3L4	0.00769762834534049
TRIM28	CPVL	0.007695930544286966
TFAP2A	FOXJ1	0.0076955510303378105
POU5F1	HMGN2	0.007683939766138792
POU5F1	MCM4	0.007676601409912109
TRIM28	UTP18	0.007673577405512333
TRIM28	POLR2I	0.007661520503461361
POU5F1	YBX1	0.007660820614546537
POU5F1	MCM2	0.007659893482923508
TRIM28	PLAGL2	0.007655874360352755
POU5F1	PATZ1	0.007654284127056599
TRIM28	DNAJC2	0.007644480559974909
POU5F1	HMGA1	0.007644087541848421
TRIM28	BAMBI	0.00763922231271863
TRIM28	TEX10	0.007631177548319101
TRIM28	PA2G4	0.007628993131220341
TRIM28	HRSP12	0.007628043182194233
POU5F1	DNMT3B	0.007624612655490637
TRIM28	MED16	0.007617277558892965
POU5F1	MSANTD3-TMEFF1	0.007615894079208374
TRIM28	ZNF589	0.007614430971443653
POU5F1	MRS2	0.0076124658808112144
TRIM28	TCOF1	0.007608197163790464
POU5F1	ETV1	0.007602848578244448
TRIM28	ASNS	0.007599997334182262
TRIM28	MYBBP1A	0.007595053408294916
TRIM28	PLK1	0.007589478511363268
TRIM28	C3ORF14	0.007582967169582844
TRIM28	UPF1	0.007575022988021374
TRIM28	TRIM27	0.007573355454951525
TRIM28	MCM5	0.007570892106741667
POU5F1	KIF21A	0.007564926985651255
TRIM28	CSRP2	0.007564444560557604
TRIM28	SNRPB	0.007563024293631315
POU5F1	HIST1H1B	0.007557824719697237
TRIM28	TRIP6	0.007556592114269733
TRIM28	RNPS1	0.007551955059170723
TRIM28	ID3	0.007541210390627384
TRIM28	DNMT3B	0.007540672551840544
TRIM28	RBM14	0.007537832483649254
TRIM28	NUSAP1	0.007536544464528561
TRIM28	MYCN	0.00753473024815321
POU5F1	AGPAT5	0.007532332092523575
TRIM28	SKA3	0.007530062459409237
TRIM28	DPYSL3	0.007529957219958305
POU5F1	TEX10	0.00751720042899251
TFAP2A	POU3F1	0.0075159999541938305
TRIM28	GPC3	0.007509706541895866
TRIM28	PDGFA	0.007504642941057682
TRIM28	HOMER1	0.007493727374821901
TRIM28	SRSF1	0.007492363452911377
TRIM28	PRMT6	0.007491766475141048
POU5F1	ODC1	0.007489866577088833
TFAP2A	EPCAM	0.007486941292881966
TRIM28	VASH2	0.007485710550099611
POU5F1	NPM1	0.0074780224822461605
TRIM28	MRS2	0.007476290222257376
POU5F1	SAP18	0.007475948426872492
TRIM28	DSCC1	0.007474510930478573
POU5F1	SKA3	0.007472195662558079
TRIM28	TRIP13	0.007469157222658396
POU5F1	ZNF589	0.0074628968723118305
TRIM28	TBX3	0.0074626668356359005
TRIM28	HMGN2	0.007459738757461309
TFAP2A	ARNT2	0.007457497995346785
HAND2	SIX6	0.007456539198756218
POU5F1	TCOF1	0.007454864680767059
POU5F1	PHB2	0.0074522835202515125
POU5F1	SRSF2	0.0074521396309137344
POU5F1	DPYSL3	0.007448344957083464
TFAP2A	GATA3	0.007445864845067263
TRIM28	SORL1	0.007435918785631657
POU5F1	GPC3	0.007430265657603741
TRIM28	RRAS2	0.007430020719766617
TRIM28	GLMN	0.007426084019243717
TRIM28	TP53	0.007425606716424227
CTNNB1	SKIL	0.007420283742249012
TRIM28	DPF2	0.007418659050017595
CTNNB1	SOX4	0.007418318185955286
POU5F1	DEK	0.007414875086396933
TRIM28	NUDT11	0.007414800114929676
POU5F1	RFC3	0.0074108922854065895
TRIM28	DNAAF2	0.007407546509057283
TFAP2A	RARG	0.0074072424322366714
TRIM28	CCNA2	0.007407105062156916
TRIM28	TTC27	0.007404982578009367
POU5F1	MIF	0.007399858441203833
TRIM28	SALL3	0.007398589514195919
TRIM28	FBXO5	0.007396260276436806
TRIM28	POLR1A	0.007394708693027496
TRIM28	WDR5	0.007394467480480671
CTNNB1	ZIC2	0.007393508218228817
POU5F1	TRIM28	0.0073929461650550365
TFAP2A	SOX3	0.007390744984149933
POU5F1	GLDC	0.007389467675238848
POU5F1	POLR2F	0.0073869964107871056
TFAP2A	RXRG	0.007386605255305767
POU5F1	PA2G4	0.007386508863419294
TRIM28	THY1	0.007385721430182457
TFAP2A	GLDC	0.00738365575671196
POU5F1	SLC39A8	0.007377859205007553
TFAP2A	GAD1	0.007374825421720743
POU5F1	SSB	0.0073709809221327305
POU5F1	SALL3	0.007357149850577116
TRIM28	HIST1H1B	0.007356158457696438
EOMES	GATA6	0.007354100234806538
TRIM28	ALYREF	0.007349939085543156
TRIM28	APEX1	0.007349091582000256
POU5F1	VASH2	0.007346111349761486
HAND2	FOXJ1	0.007345643360167742
POU5F1	LECT1	0.007339001167565584
TRIM28	TLE1	0.007333491928875446
TRIM28	DEK	0.0073321545496582985
TRIM28	E2F3	0.007330689113587141
TRIM28	CNBP	0.007325378246605396
TRIM28	SLC19A2	0.007325093261897564
POU5F1	TRIP6	0.007323923520743847
TRIM28	HDGF	0.007323498371988535
TRIM28	RIOK1	0.007323065306991339
ZFP42	POU5F1	0.0073189809918403625
POU5F1	CLDN10	0.007315873634070158
TFAP2A	SFRP2	0.007311982102692127
TRIM28	MRPS30	0.007307946216315031
TRIM28	RAI14	0.007301616482436657
TRIM28	PRPS2	0.007301431614905596
TRIM28	POU2F1	0.007298678625375032
POU5F1	GLMN	0.007298535667359829
TRIM28	CXXC1	0.0072928438894450665
TP53	PDGFA	0.007292824797332287
EOMES	FST	0.007292792201042175
POU5F1	PARP1	0.007290951441973448
POU5F1	POLR2I	0.007287219166755676
TRIM28	OTUD6B	0.007286576554179192
TRIM28	MLF1IP	0.007282800506800413
POU5F1	XRCC5	0.007279666140675545
TFAP2A	SOX2	0.007273395080119371
TRIM28	PARP1	0.007270537782460451
TRIM28	DNMT1	0.007269111927598715
TRIM28	MCM3	0.0072690523229539394
TRIM28	SSB	0.007267243228852749
TFAP2A	TEAD4	0.007266805041581392
TFAP2A	ESRP1	0.0072660790756344795
POU5F1	UTP15	0.007261432241648436
TRIM28	CUL1	0.0072605060413479805
CTNNB1	NANOG	0.007256641518324614
TFAP2A	LECT1	0.0072512878105044365
TRIM28	MIF	0.007249864283949137
TRIM28	CEBPZ	0.007248743902891874
POU5F1	SORL1	0.007248212117701769
POU5F1	LRAT	0.0072471085004508495
TRIM28	PROM1	0.0072466242127120495
TRIM28	MCM6	0.0072396136820316315
TRIM28	FUS	0.007233235519379377
POU5F1	PTMA	0.0072321416810154915
TRIM28	LRAT	0.007229267619550228
POU5F1	ETV4	0.007222562097012997
TRIM28	TIMM8A	0.007222539279609919
TFAP2A	ELAVL2	0.007222160696983337
TRIM28	RUVBL2	0.007220632396638393
TP53	CTNNB1	0.007220143917948008
TRIM28	DNA2	0.007217508740723133
TRIM28	PTPRZ1	0.007215425837785006
TRIM28	STAT3	0.007214604876935482
POU5F1	ZIC2	0.007212762255221605
TFAP2A	HOPX	0.007209360599517822
POU5F1	FOXN3	0.007203574292361736
TRIM28	SNX18	0.00720144622027874
POU5F1	SNRPD1	0.007200661115348339
TRIM28	ZBTB2	0.007199639454483986
POU5F1	HNRNPK	0.0071984161622822285
TRIM28	DPH2	0.007189115509390831
EOMES	HAS2	0.007188198622316122
TFAP2A	FOXD3	0.007186403963714838
TRIM28	ETV4	0.007184886839240789
TFAP2A	NKX3-1	0.007184801157563925
POU5F1	KAL1	0.007184459362179041
POU5F1	PDCD11	0.007183566689491272
POU5F1	CHAF1A	0.007179174572229385
POU5F1	CEBPZ	0.007177107501775026
EOMES	LEPREL1	0.007176431827247143
TRIM28	POLR2G	0.0071761272847652435
POU5F1	MKI67IP	0.007176036015152931
TRIM28	TJP2	0.0071717784740030766
TRIM28	PATZ1	0.007171459496021271
TRIM28	PAWR	0.007167609874159098
TFAP2A	AR	0.007166712079197168
POU5F1	SLC19A2	0.007166148163378239
POU5F1	EWSR1	0.0071646650321781635
POU5F1	MCM5	0.007161277811974287
TP53	SOX4	0.007161075249314308
POU5F1	PHF17	0.007157282903790474
TRIM28	ESPL1	0.007156941574066877
POU5F1	POLR2G	0.007156844716519117
TRIM28	RFC3	0.007154968101531267
TRIM28	NOC3L	0.007154684513807297
TRIM28	AK4	0.007150331046432257
POU5F1	MAP4K3	0.007149943150579929
TRIM28	MXD4	0.0071478793397545815
POU5F1	SMARCD1	0.00714576430618763
TFAP2A	MYCN	0.0071447379887104034
TRIM28	ABLIM1	0.0071427845396101475
TRIM28	MSANTD3-TMEFF1	0.007140574976801872
POU5F1	TFDP1	0.007137221284210682
POU5F1	MLF1IP	0.0071365926414728165
TFAP2A	PTPRZ1	0.007134995423257351
TRIM28	SUPT16H	0.00713225407525897
POU5F1	RAD51AP1	0.007128942292183638
TRIM28	SMAD6	0.007128928788006306
POU5F1	E2F4	0.007127790246158838
CTNNB1	TP53	0.007127729710191488
TRIM28	DCLK1	0.007127105258405209
POU5F1	SALL2	0.007125916425138712
POU5F1	CSRP2	0.007118589244782925
POU5F1	E2F3	0.007118511479347944
EOMES	CYP26A1	0.00711830286309123
CTNNB1	SFRP1	0.007111668586730957
CTNNB1	SRSF6	0.007110935635864735
TRIM28	SLC6A15	0.007106977980583906
TFAP2A	RIN2	0.007106455974280834
POU5F1	RBM14	0.007103767246007919
TRIM28	SALL2	0.007101745344698429
TRIM28	RRN3	0.007099308539181948
TRIM28	GTF2H2D	0.007096073590219021
TRIM28	CYP1B1	0.0070957583375275135
TFAP2A	LIMCH1	0.007095718290656805
POU5F1	ZNF107	0.007089977618306875
POU5F1	POLR1B	0.007087845355272293
POU5F1	THY1	0.007086555939167738
HAND2	POU3F1	0.007085994817316532
TFAP2A	RIPPLY1	0.007081916090101004
POU5F1	TTC27	0.0070802150294184685
TRIM28	GAD1	0.007080175913870335
TRIM28	ZNF764	0.007076341658830643
POU5F1	DPH2	0.007074444554746151
LEF1	GATA3	0.007073601707816124
POU5F1	FOXH1	0.007072546985000372
TRIM28	KIF15	0.007070158142596483
TFAP2A	NFE2L3	0.007069479674100876
SOX2	USP44	0.007069273851811886
POU5F1	NAP1L3	0.007068049628287554
TRIM28	GATA3	0.007066438905894756
HAND2	RXRG	0.007065666373819113
TRIM28	EZH2	0.007065522484481335
PRDM1	S1PR3	0.007064003963023424
POU5F1	ZBTB2	0.007063164841383696
TRIM28	TBC1D4	0.007059507071971893
POU5F1	NFE2L3	0.0070593878626823425
TRIM28	POLR1B	0.00705870334059
TRIM28	C11ORF82	0.0070565082132816315
TFAP2A	GATA2	0.0070564099587500095
TRIM28	NTS	0.007052193395793438
TFAP2A	ZNF219	0.007050625514239073
POU5F1	MRPL1	0.007047281134873629
EOMES	LHX1	0.007046143524348736
POU5F1	GAD1	0.0070448932237923145
POU5F1	ILF3	0.0070434920489788055
TFAP2A	POU2F2	0.007041173987090588
TRIM28	ZNF107	0.00704115629196167
TRIM28	MAFG	0.007040837779641151
TFAP2A	NFKBIB	0.007039474323391914
POU5F1	POLR2K	0.007038830779492855
POU5F1	BTF3	0.007036217488348484
ZFP42	ASNS	0.007035284768790007
TRIM28	ZNF219	0.007035136688500643
POU5F1	DSCC1	0.007034945767372847
POU5F1	TRIM33	0.007034469861537218
POU5F1	RAD51	0.0070341103710234165
POU5F1	MCM3	0.00703071104362607
POU5F1	EHMT2	0.007028118707239628
TFAP2A	TRERF1	0.007025934290140867
CTNNB1	ABCA1	0.007021890487521887
TRIM28	GTF2H2	0.007018715608865023
TRIM28	RARG	0.007017634809017181
TFAP2A	NR0B1	0.007017082069069147
TRIM28	GINS2	0.0070143649354577065
TRIM28	CENPK	0.007013594266027212
POU5F1	TJP2	0.007013374008238316
POU5F1	ARID3B	0.007012427784502506
TRIM28	CDCA2	0.007011589594185352
TRIM28	CDCA8	0.007011539302766323
TRIM28	NRIP1	0.007010434288531542
TRIM28	NONO	0.007009358145296574
TRIM28	CA14	0.007008442189544439
POU5F1	PLAGL2	0.00700791273266077
POU5F1	CTNNB1	0.007006440311670303
TRIM28	FBXO28	0.0070048728957772255
POU5F1	NFYB	0.006999270059168339
TRIM28	LECT1	0.00699901906773448
TFAP2A	NFIC	0.00699811102822423
TRIM28	TPD52	0.006998053751885891
EOMES	CER1	0.006996964570134878
TRIM28	SIRT1	0.006996115669608116
POU5F1	MCM7	0.0069954609498381615
TRIM28	ZNF398	0.006993115413933992
TRIM28	TMEM64	0.006986910477280617
TRIM28	ESRP1	0.006986497901380062
EOMES	AMIGO2	0.006985948421061039
TRIM28	SLC35F1	0.006984633859246969
TRIM28	CCDC138	0.006983509287238121
TRIM28	SLC39A8	0.0069826687686145306
TFAP2A	BMPR1A	0.006982597056776285
TRIM28	KDM6A	0.0069814096204936504
POU5F1	XRCC6	0.006974528077989817
TRIM28	NANOG	0.006970806047320366
POU5F1	MYBBP1A	0.006970388814806938
TRIM28	WDFY1	0.00696650892496109
ZFP42	ID3	0.006965196691453457
POU5F1	ILF2	0.006964926142245531
TFAP2A	ITGA6	0.00696206372231245
POU5F1	BAMBI	0.006960385013371706
TFAP2A	ASNS	0.006960093043744564
POU5F1	GATAD2A	0.006959334947168827
TRIM28	NFATC3	0.006958571262657642
TRIM28	SRC	0.0069582583382725716
TFAP2A	CALB1	0.006956419907510281
TFAP2A	NANOG	0.00695605156943202
TRIM28	LRR1	0.006952275056391954
POU5F1	OTUD6B	0.006951312534511089
POU5F1	HOMER1	0.00694948248565197
POU5F1	CALB1	0.006948670372366905
TRIM28	EHMT2	0.006947943475097418
TRIM28	CDCA7L	0.006946577224880457
TRIM28	CTNNB1	0.006944091524928808
TRIM28	ERCC6L	0.00694358441978693
TFAP2A	LEF1	0.006941573694348335
POU5F1	ALYREF	0.006940355058759451
POU5F1	NUP35	0.006937896367162466
TRIM28	FUBP1	0.006934120785444975
TP53	POU5F1	0.006932920776307583
TFAP2A	LMO2	0.0069306716322898865
POU5F1	ZRANB2	0.006930472794920206
TRIM28	ZRANB2	0.00692729651927948
TRIM28	RTKN2	0.006927231326699257
ZFP42	PMAIP1	0.00692663062363863
POU5F1	SFRP1	0.006924153305590153
TP53	NANOG	0.006923534907400608
POU5F1	SLC35F1	0.006922080647200346
POU5F1	RMI1	0.006921696942299604
TRIM28	CDC20	0.006921461783349514
TFAP2A	GRHL2	0.006918999832123518
TRIM28	CUX1	0.006916603539139032
POU5F1	SRSF3	0.006914446596056223
POU5F1	EEF1A1	0.006911921314895153
TRIM28	WDR12	0.006909684743732214
TRIM28	DNMT3A	0.0069085536524653435
POU5F1	EMB	0.006905253045260906
TRIM28	FOXP1	0.006904169451445341
POU5F1	PSIP1	0.0069028595462441444
TRIM28	CITED2	0.006902843248099089
POU5F1	GATA3	0.0069022588431835175
TRIM28	PHF17	0.006901399698108435
EOMES	SIPA1L2	0.006898251827806234
POU5F1	KHSRP	0.0068971277214586735
POU5F1	DTL	0.006896128412336111
POU5F1	PROM1	0.006895761936903
TRIM28	HEG1	0.006889087613672018
TRIM28	NAP1L3	0.006887833122164011
POU5F1	PARN	0.006881031673401594
TRIM28	TMEM131	0.006880226545035839
POU5F1	CD200	0.0068783750757575035
TP53	DNMT3A	0.0068779499270021915
TRIM28	TTK	0.006873795296996832
TFAP2A	SOX13	0.006872892379760742
HAND2	SP110	0.006870492827147245
TRIM28	CBX3	0.0068704006262123585
POU5F1	PDGFA	0.00686849607154727
TFAP2A	HDAC9	0.006867787800729275
POU5F1	STAT3	0.0068673924542963505
POU5F1	ZNF398	0.006866282317787409
POU5F1	ANKRD28	0.006865921430289745
TRIM28	POLR2H	0.006865601520985365
TFAP2A	TPD52	0.006860900670289993
CTNNB1	HMGN2	0.00685975793749094
POU5F1	SOX13	0.006858863867819309
TRIM28	XRCC5	0.006857129279524088
TRIM28	TRIM33	0.006856834515929222
POU5F1	MED14	0.006854893174022436
TRIM28	USP44	0.006853598169982433
EOMES	PCDH10	0.0068526859395205975
POU5F1	RAI14	0.00684724748134613
TRIM28	GTF3C4	0.006847217213362455
TRIM28	UHRF1	0.0068467785604298115
HAND2	HOPX	0.00684478972107172
TFAP2A	CD9	0.006842348724603653
CTNNB1	ALYREF	0.006839317735284567
TRIM28	MCM7	0.006837079301476479
PRDM1	MYCT1	0.0068366327323019505
POU5F1	TEAD4	0.006834967993199825
POU5F1	POLR2H	0.006833650171756744
POU5F1	TRIM27	0.006833516992628574
TRIM28	RMI1	0.006832142360508442
TFAP2A	ZNF239	0.006827958393841982
POU5F1	RNF138	0.006827836390584707
EOMES	CA2	0.006826926488429308
TRIM28	KIF21A	0.006823946721851826
EOMES	MSX1	0.006820468697696924
TFAP2A	PER3	0.0068184551782906055
TFAP2A	TFAP4	0.006817347835749388
TP53	ALYREF	0.006817199289798737
EOMES	CHL1	0.0068171159364283085
DNMT3B	PHC1	0.006816287059336901
POU5F1	U2AF1	0.006816251203417778
POU5F1	CCND1	0.00681587029248476
TRIM28	SPPL2A	0.006815718486905098
TRIM28	E2F7	0.006815342698246241
ZFP42	NANOG	0.006810901220887899
TFAP2A	HESX1	0.006808284670114517
TFAP2A	MITF	0.006807506084442139
FOXH1	SFRP2	0.006806166376918554
TRIM28	POLR2D	0.006805706303566694
TP53	SKIL	0.006804255302995443
